순위,곡명,가수명,좋아요,
1,아무노래,지코 (ZICO),265536,
2,METEOR,창모 (CHANGMO),282727,
3,아로하,조정석,235235,
4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303529,
5,에잇(Prod.&Feat. SUGA of BTS),아이유,378781,
6,Blueming,아이유,338165,
7,늦은 밤 너의 집 앞 골목길에서,노을,195016,
8,시작,가호 (Gaho),230856,
9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,434888,
10,Psycho,Red Velvet (레드벨벳),229816,
11,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),382929,
12,Dynamite,방탄소년단,434619,
13,마음을 드려요,아이유,230967,
14,처음처럼,엠씨더맥스 (M.C the MAX),111769,
15,How You Like That,BLACKPINK,192264,
16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),188707,
17,ON,방탄소년단,264651,
18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262514,
19,Downtown Baby,블루 (BLOO),195401,
20,마리아 (Maria),화사 (Hwa Sa),161612,
21,어떻게 지내 (Prod. By VAN.C),오반,179771,
22,모든 날 모든 순간 (Every day Every Moment),폴킴,394243,
23,다시 여기 바닷가,싹쓰리 (유두래곤 린다G 비룡),236654,
24,Dolphin,오마이걸 (OH MY GIRL),197685,
25,사랑하게 될 줄 알았어,전미도,148855,
26,안녕,폴킴,203095,
27,그때 그 아인,김필,124778,
28,취기를 빌려 (취향저격 그녀 X 산들),산들,215737,
29,Love poem,아이유,326702,
30,HIP,마마무 (Mamamoo),138058,
31,우리 왜 헤어져야 해,신예영,124817,
32,좋은 사람 있으면 소개시켜줘,조이 (JOY),125126,
33,너를 사랑하고 있어,백현 (BAEKHYUN),161925,
34,봄날,방탄소년단,560725,
35,Black Swan,방탄소년단,203200,
36,Summer Hate (Feat. 비),지코 (ZICO),112148,
37,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,169263,
38,다시 난 여기,백예린 (Yerin Baek),120239,
39,눈누난나 (NUNU NANA),제시 (Jessi),105675,
40,돌덩이,하현우 (국카스텐),115239,
41,오래된 노래,스탠딩 에그,246448,
42,사랑이란 멜로는 없어,전상근,129875,
43,반만,진민호,70855,
44,시든 꽃에 물을 주듯,HYNN (박혜원),200451,
45,너를 만나,폴킴,303772,
46,Square (2017),백예린 (Yerin Baek),253552,
47,FIESTA,IZ*ONE (아이즈원),132529,
48,덤더럼 (Dumhdurum),Apink (에이핑크),94406,
49,아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,161294,
50,조금 취했어 (Prod. 2soo),임재현,118128,
