,순위,곡명,가수명,좋아요,Unnamed: 4
0,1,아무노래,지코 (ZICO),265536,
1,2,METEOR,창모 (CHANGMO),282727,
2,3,아로하,조정석,235235,
3,4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303529,
4,5,에잇(Prod.&Feat. SUGA of BTS),아이유,378781,
5,6,Blueming,아이유,338165,
6,7,늦은 밤 너의 집 앞 골목길에서,노을,195016,
7,8,시작,가호 (Gaho),230856,
8,9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,434888,
9,10,Psycho,Red Velvet (레드벨벳),229816,
10,11,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),382929,
11,12,Dynamite,방탄소년단,434619,
12,13,마음을 드려요,아이유,230967,
13,14,처음처럼,엠씨더맥스 (M.C the MAX),111769,
14,15,How You Like That,BLACKPINK,192264,
15,16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),188707,
16,17,ON,방탄소년단,264651,
17,18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262514,
18,19,Downtown Baby,블루 (BLOO),195401,
19,20,마리아 (Maria),화사 (Hwa Sa),161612,
20,21,어떻게 지내 (Prod. By VAN.C),오반,179771,
21,22,모든 날 모든 순간 (Every day Every Moment),폴킴,394243,
22,23,다시 여기 바닷가,싹쓰리 (유두래곤 린다G 비룡),236654,
23,24,Dolphin,오마이걸 (OH MY GIRL),197685,
24,25,사랑하게 될 줄 알았어,전미도,148855,
25,26,안녕,폴킴,203095,
26,27,그때 그 아인,김필,124778,
27,28,취기를 빌려 (취향저격 그녀 X 산들),산들,215737,
28,29,Love poem,아이유,326702,
29,30,HIP,마마무 (Mamamoo),138058,
30,31,우리 왜 헤어져야 해,신예영,124817,
31,32,좋은 사람 있으면 소개시켜줘,조이 (JOY),125126,
32,33,너를 사랑하고 있어,백현 (BAEKHYUN),161925,
33,34,봄날,방탄소년단,560725,
34,35,Black Swan,방탄소년단,203200,
35,36,Summer Hate (Feat. 비),지코 (ZICO),112148,
36,37,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,169263,
37,38,다시 난 여기,백예린 (Yerin Baek),120239,
38,39,눈누난나 (NUNU NANA),제시 (Jessi),105675,
39,40,돌덩이,하현우 (국카스텐),115239,
40,41,오래된 노래,스탠딩 에그,246448,
41,42,사랑이란 멜로는 없어,전상근,129875,
42,43,반만,진민호,70855,
43,44,시든 꽃에 물을 주듯,HYNN (박혜원),200451,
44,45,너를 만나,폴킴,303772,
45,46,Square (2017),백예린 (Yerin Baek),253552,
46,47,FIESTA,IZ*ONE (아이즈원),132529,
47,48,덤더럼 (Dumhdurum),Apink (에이핑크),94406,
48,49,아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,161294,
49,50,조금 취했어 (Prod. 2soo),임재현,118128,
50,51,Celebrity,아이유,319925,
51,52,롤린 (Rollin'),브레이브걸스,294575,
