곡명, 가수명, 좋아요,
아무노래,지코 (ZICO),265544
METEOR,창모 (CHANGMO),282742
아로하,조정석,235236
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303536
에잇(Prod.&Feat. SUGA of BTS),아이유,378783
Blueming,아이유,338170
늦은 밤 너의 집 앞 골목길에서,노을,195035
시작,가호 (Gaho),230861
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,434909
Psycho,Red Velvet (레드벨벳),229824
어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),382955
Dynamite,방탄소년단,434649
마음을 드려요,아이유,230971
처음처럼,엠씨더맥스 (M.C the MAX),111768
How You Like That,BLACKPINK,192273
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),188709
ON,방탄소년단,264660
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262528
Downtown Baby,블루 (BLOO),195398
마리아 (Maria),화사 (Hwa Sa),161613
어떻게 지내 (Prod. By VAN.C),오반,179780
모든 날 모든 순간 (Every day Every Moment),폴킴,394260
다시 여기 바닷가,싹쓰리 (유두래곤 린다G 비룡),236658
Dolphin,오마이걸 (OH MY GIRL),197686
사랑하게 될 줄 알았어,전미도,148854
안녕,폴킴,203101
그때 그 아인,김필,124782
취기를 빌려 (취향저격 그녀 X 산들),산들,215750
Love poem,아이유,326714
HIP,마마무 (Mamamoo),138060
우리 왜 헤어져야 해,신예영,124828
좋은 사람 있으면 소개시켜줘,조이 (JOY),125133
너를 사랑하고 있어,백현 (BAEKHYUN),161927
봄날,방탄소년단,560757
Black Swan,방탄소년단,203201
Summer Hate (Feat. 비),지코 (ZICO),112152
나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,169268
다시 난 여기,백예린 (Yerin Baek),120244
눈누난나 (NUNU NANA),제시 (Jessi),105685
돌덩이,하현우 (국카스텐),115241
오래된 노래,스탠딩 에그,246460
사랑이란 멜로는 없어,전상근,129878
반만,진민호,70858
시든 꽃에 물을 주듯,HYNN (박혜원),200473
너를 만나,폴킴,303788
Square (2017),백예린 (Yerin Baek),253577
FIESTA,IZ*ONE (아이즈원),132531
덤더럼 (Dumhdurum),Apink (에이핑크),94407
아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,161296
조금 취했어 (Prod. 2soo),임재현,118152

곡명, 가수명, 좋아요,
아무노래,지코 (ZICO),265544
METEOR,창모 (CHANGMO),282742
아로하,조정석,235236
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303536
에잇(Prod.&Feat. SUGA of BTS),아이유,378783
Blueming,아이유,338170
늦은 밤 너의 집 앞 골목길에서,노을,195035
시작,가호 (Gaho),230861
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,434909
Psycho,Red Velvet (레드벨벳),229824
어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),382955
Dynamite,방탄소년단,434649
마음을 드려요,아이유,230971
처음처럼,엠씨더맥스 (M.C the MAX),111768
How You Like That,BLACKPINK,192273
살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),188709
ON,방탄소년단,264660
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262528
Downtown Baby,블루 (BLOO),195398
마리아 (Maria),화사 (Hwa Sa),161613
어떻게 지내 (Prod. By VAN.C),오반,179780
모든 날 모든 순간 (Every day Every Moment),폴킴,394260
다시 여기 바닷가,싹쓰리 (유두래곤 린다G 비룡),236658
Dolphin,오마이걸 (OH MY GIRL),197686
사랑하게 될 줄 알았어,전미도,148854
안녕,폴킴,203101
그때 그 아인,김필,124782
취기를 빌려 (취향저격 그녀 X 산들),산들,215750
Love poem,아이유,326714
HIP,마마무 (Mamamoo),138060
우리 왜 헤어져야 해,신예영,124828
좋은 사람 있으면 소개시켜줘,조이 (JOY),125133
너를 사랑하고 있어,백현 (BAEKHYUN),161927
봄날,방탄소년단,560757
Black Swan,방탄소년단,203201
Summer Hate (Feat. 비),지코 (ZICO),112152
나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,169268
다시 난 여기,백예린 (Yerin Baek),120244
눈누난나 (NUNU NANA),제시 (Jessi),105685
돌덩이,하현우 (국카스텐),115241
오래된 노래,스탠딩 에그,246460
사랑이란 멜로는 없어,전상근,129878
반만,진민호,70858
시든 꽃에 물을 주듯,HYNN (박혜원),200473
너를 만나,폴킴,303788
Square (2017),백예린 (Yerin Baek),253577
FIESTA,IZ*ONE (아이즈원),132531
덤더럼 (Dumhdurum),Apink (에이핑크),94407
아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,161296
조금 취했어 (Prod. 2soo),임재현,118152

