순위,곡명,가수명,좋아요
1,Celebrity,아이유,319926
2,롤린 (Rollin'),브레이브걸스,294572
3,Dynamite,방탄소년단,434649
4,Next Level,aespa,245417
5,라일락,아이유,241116
6,밤하늘의 별을(2020),경서,191533
7,신호등,이무진,279140
8,Butter,방탄소년단,271607
9,내 손을 잡아,아이유,192373
10,밝게 빛나는 별이 되어 비춰줄게,송이한,118429
11,바라만 본다,MSG워너비(M.O.M),176478
12,잠이 오질 않네요,장범준,157912
13,헤픈 우연,헤이즈 (Heize),177237
14,Lovesick Girls,BLACKPINK,215163
15,취기를 빌려 (취향저격 그녀 X 산들),산들,215751
16,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),200093
17,운전만해 (We Ride),브레이브걸스,134274
18,Dun Dun Dance,오마이걸 (OH MY GIRL),158634
19,Blueming,아이유,338168
20,에잇(Prod.&Feat. SUGA of BTS),아이유,378784
21,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),382956
22,오래된 노래,스탠딩 에그,246463
23,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303536
24,그날에 나는 맘이 편했을까,이예준,81409
25,Life Goes On,방탄소년단,237686
26,모든 날 모든 순간 (Every day Every Moment),폴킴,394260
27,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),양요섭,111649
28,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,125966
29,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,434910
30,ASAP,STAYC(스테이씨),142634
31,METEOR,창모 (CHANGMO),282745
32,Timeless,SG 워너비,111090
33,사이렌 Remix (Feat. UNEDUCATED KID Paul Blanco),호미들,143153
34,아로하,조정석,235236
35,Weekend,태연 (TAEYEON),176006
36,Dolphin,오마이걸 (OH MY GIRL),197686
37,봄날,방탄소년단,560757
38,Permission to Dance,방탄소년단,205433
39,멜로디,ASH ISLAND,132554
40,추억은 만남보다 이별에 남아,정동하,86345
41,OHAYO MY NIGHT,디핵 (D-Hack),186075
42,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262528
43,낙하 (with 아이유),AKMU (악뮤),173091
44,이제 나만 믿어요,임영웅,155015
45,사실 나는 (Feat.전건호),경서예지,92989
46,다정히 내 이름을 부르면,경서예지,136151
47,On The Ground,로제 (ROSÉ),153477
48,힘든 건 사랑이 아니다,임창정,112601
49,어떻게 지내 (Prod. By VAN.C),오반,179781
50,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,86568

