,순위,곡명,가수명,좋아요
0,1,아무노래,지코 (ZICO),265544
1,2,METEOR,창모 (CHANGMO),282742
2,3,아로하,조정석,235236
3,4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303536
4,5,에잇(Prod.&Feat. SUGA of BTS),아이유,378783
5,6,Blueming,아이유,338169
6,7,늦은 밤 너의 집 앞 골목길에서,노을,195035
7,8,시작,가호 (Gaho),230861
8,9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,434909
9,10,Psycho,Red Velvet (레드벨벳),229824
10,11,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),382955
11,12,Dynamite,방탄소년단,434648
12,13,마음을 드려요,아이유,230971
13,14,처음처럼,엠씨더맥스 (M.C the MAX),111768
14,15,How You Like That,BLACKPINK,192273
15,16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),188708
16,17,ON,방탄소년단,264660
17,18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262528
18,19,Downtown Baby,블루 (BLOO),195398
19,20,마리아 (Maria),화사 (Hwa Sa),161613
20,21,어떻게 지내 (Prod. By VAN.C),오반,179780
21,22,모든 날 모든 순간 (Every day Every Moment),폴킴,394260
22,23,다시 여기 바닷가,싹쓰리 (유두래곤 린다G 비룡),236658
23,24,Dolphin,오마이걸 (OH MY GIRL),197685
24,25,사랑하게 될 줄 알았어,전미도,148854
25,26,안녕,폴킴,203102
26,27,그때 그 아인,김필,124782
27,28,취기를 빌려 (취향저격 그녀 X 산들),산들,215750
28,29,Love poem,아이유,326714
29,30,HIP,마마무 (Mamamoo),138060
30,31,우리 왜 헤어져야 해,신예영,124828
31,32,좋은 사람 있으면 소개시켜줘,조이 (JOY),125133
32,33,너를 사랑하고 있어,백현 (BAEKHYUN),161927
33,34,봄날,방탄소년단,560756
34,35,Black Swan,방탄소년단,203201
35,36,Summer Hate (Feat. 비),지코 (ZICO),112152
36,37,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,169269
37,38,다시 난 여기,백예린 (Yerin Baek),120244
38,39,눈누난나 (NUNU NANA),제시 (Jessi),105685
39,40,돌덩이,하현우 (국카스텐),115241
40,41,오래된 노래,스탠딩 에그,246461
41,42,사랑이란 멜로는 없어,전상근,129878
42,43,반만,진민호,70858
43,44,시든 꽃에 물을 주듯,HYNN (박혜원),200473
44,45,너를 만나,폴킴,303788
45,46,Square (2017),백예린 (Yerin Baek),253577
46,47,FIESTA,IZ*ONE (아이즈원),132531
47,48,덤더럼 (Dumhdurum),Apink (에이핑크),94407
48,49,아마두 (feat.우원재 김효은 넉살 Huckleberry P),염따,161296
49,50,조금 취했어 (Prod. 2soo),임재현,118152
50,51,Celebrity,아이유,319926
51,52,롤린 (Rollin'),브레이브걸스,294572
52,53,Dynamite,방탄소년단,434649
53,54,Next Level,aespa,245417
54,55,라일락,아이유,241116
55,56,밤하늘의 별을(2020),경서,191533
56,57,신호등,이무진,279140
57,58,Butter,방탄소년단,271607
58,59,내 손을 잡아,아이유,192373
59,60,밝게 빛나는 별이 되어 비춰줄게,송이한,118429
60,61,바라만 본다,MSG워너비(M.O.M),176478
61,62,잠이 오질 않네요,장범준,157912
62,63,헤픈 우연,헤이즈 (Heize),177237
63,64,Lovesick Girls,BLACKPINK,215163
64,65,취기를 빌려 (취향저격 그녀 X 산들),산들,215751
65,66,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),200093
66,67,운전만해 (We Ride),브레이브걸스,134274
67,68,Dun Dun Dance,오마이걸 (OH MY GIRL),158634
68,69,Blueming,아이유,338168
69,70,에잇(Prod.&Feat. SUGA of BTS),아이유,378784
70,71,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),382956
71,72,오래된 노래,스탠딩 에그,246463
72,73,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303536
73,74,그날에 나는 맘이 편했을까,이예준,81409
74,75,Life Goes On,방탄소년단,237686
75,76,모든 날 모든 순간 (Every day Every Moment),폴킴,394260
76,77,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),양요섭,111649
77,78,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,125966
78,79,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,434910
79,80,ASAP,STAYC(스테이씨),142634
80,81,METEOR,창모 (CHANGMO),282745
81,82,Timeless,SG 워너비,111090
82,83,사이렌 Remix (Feat. UNEDUCATED KID Paul Blanco),호미들,143153
83,84,아로하,조정석,235236
84,85,Weekend,태연 (TAEYEON),176006
85,86,Dolphin,오마이걸 (OH MY GIRL),197686
86,87,봄날,방탄소년단,560757
87,88,Permission to Dance,방탄소년단,205433
88,89,멜로디,ASH ISLAND,132554
89,90,추억은 만남보다 이별에 남아,정동하,86345
90,91,OHAYO MY NIGHT,디핵 (D-Hack),186075
91,92,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262528
92,93,낙하 (with 아이유),AKMU (악뮤),173091
93,94,이제 나만 믿어요,임영웅,155015
94,95,사실 나는 (Feat.전건호),경서예지,92989
95,96,다정히 내 이름을 부르면,경서예지,136151
96,97,On The Ground,로제 (ROSÉ),153477
97,98,힘든 건 사랑이 아니다,임창정,112601
98,99,어떻게 지내 (Prod. By VAN.C),오반,179781
99,100,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,86568
