순위,곡명,가수명,좋아요
1,Celebrity,아이유,319959
2,롤린 (Rollin'),브레이브걸스,294583
3,Dynamite,방탄소년단,435406
4,Next Level,aespa,245443
5,라일락,아이유,241145
6,밤하늘의 별을(2020),경서,191576
7,신호등,이무진,279197
8,Butter,방탄소년단,272470
9,내 손을 잡아,아이유,192412
10,밝게 빛나는 별이 되어 비춰줄게,송이한,118462
11,바라만 본다,MSG워너비(M.O.M),176506
12,잠이 오질 않네요,장범준,157926
13,헤픈 우연,헤이즈 (Heize),177275
14,Lovesick Girls,BLACKPINK,215182
15,취기를 빌려 (취향저격 그녀 X 산들),산들,215770
16,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),200103
17,운전만해 (We Ride),브레이브걸스,134282
18,Dun Dun Dance,오마이걸 (OH MY GIRL),158653
19,Blueming,아이유,338191
20,에잇(Prod.&Feat. SUGA of BTS),아이유,378798
21,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악뮤),383004
22,오래된 노래,스탠딩 에그,246492
23,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,303551
24,그날에 나는 맘이 편했을까,이예준,81425
25,Life Goes On,방탄소년단,238207
26,모든 날 모든 순간 (Every day Every Moment),폴킴,394295
27,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),양요섭,111657
28,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,125987
29,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,435482
30,ASAP,STAYC(스테이씨),142649
31,METEOR,창모 (CHANGMO),282758
32,Timeless,SG 워너비,111100
33,사이렌 Remix (Feat. UNEDUCATED KID Paul Blanco),호미들,143208
34,아로하,조정석,235241
35,Weekend,태연 (TAEYEON),176064
36,Dolphin,오마이걸 (OH MY GIRL),197703
37,봄날,방탄소년단,561386
38,Permission to Dance,방탄소년단,206387
39,멜로디,ASH ISLAND,132588
40,추억은 만남보다 이별에 남아,정동하,86378
41,OHAYO MY NIGHT,디핵 (D-Hack),186117
42,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),262547
43,낙하 (with 아이유),AKMU (악뮤),173116
44,이제 나만 믿어요,임영웅,155046
45,사실 나는 (Feat.전건호),경서예지,93003
46,다정히 내 이름을 부르면,경서예지,136257
47,On The Ground,로제 (ROSÉ),153490
48,힘든 건 사랑이 아니다,임창정,112618
49,어떻게 지내 (Prod. By VAN.C),오반,179821
50,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,86587

